track_fid,track_se_1,ele,time,latitude,longitude
"0","71",4.599999904632568,2020/05/28 20:10:51.000,25.770580,-80.346012
"0","72",4.599999904632568,2020/05/28 20:11:04.000,25.770602,-80.346103
"0","73",4.599999904632568,2020/05/28 20:11:07.000,25.770617,-80.346156
"0","74",4.800000190734863,2020/05/28 20:11:10.000,25.770650,-80.346238
"0","75",5.199999809265137,2020/05/28 20:11:15.000,25.770727,-80.346377
"0","76",5.199999809265137,2020/05/28 20:11:17.000,25.770753,-80.346435
"0","77",5.199999809265137,2020/05/28 20:11:22.000,25.770817,-80.346574
"0","78",5.000000000000000,2020/05/28 20:11:26.000,25.770870,-80.346682
"0","79",4.800000190734863,2020/05/28 20:11:32.000,25.770921,-80.346859
"0","80",4.800000190734863,2020/05/28 20:11:39.000,25.770922,-80.347067
"0","81",4.800000190734863,2020/05/28 20:11:40.000,25.770923,-80.347098
"0","82",4.800000190734863,2020/05/28 20:11:47.000,25.770906,-80.347312
"0","83",4.800000190734863,2020/05/28 20:11:48.000,25.770901,-80.347342
"0","84",4.800000190734863,2020/05/28 20:11:55.000,25.770893,-80.347554
"0","85",5.000000000000000,2020/05/28 20:12:03.000,25.770961,-80.347758
"0","86",5.199999809265137,2020/05/28 20:12:11.000,25.771049,-80.347955
"0","87",5.199999809265137,2020/05/28 20:12:12.000,25.771068,-80.347977
"0","88",5.199999809265137,2020/05/28 20:12:19.000,25.771184,-80.348148
"0","89",5.199999809265137,2020/05/28 20:12:20.000,25.771198,-80.348172
"0","90",5.000000000000000,2020/05/28 20:12:28.000,25.771294,-80.348370
"0","91",5.000000000000000,2020/05/28 20:12:30.000,25.771323,-80.348420
"0","92",5.000000000000000,2020/05/28 20:12:38.000,25.771427,-80.348611
"0","93",5.000000000000000,2020/05/28 20:12:40.000,25.771449,-80.348659
"0","94",4.800000190734863,2020/05/28 20:12:48.000,25.771536,-80.348846
"0","95",4.599999904632568,2020/05/28 20:12:54.000,25.771582,-80.348986
"0","96",4.599999904632568,2020/05/28 20:13:03.000,25.771673,-80.349178
"0","97",4.599999904632568,2020/05/28 20:13:04.000,25.771687,-80.349200
"0","98",4.800000190734863,2020/05/28 20:13:11.000,25.771807,-80.349374
"0","99",5.000000000000000,2020/05/28 20:13:18.000,25.771903,-80.349550
"0","100",5.199999809265137,2020/05/28 20:13:20.000,25.771934,-80.349604
"0","101",5.199999809265137,2020/05/28 20:13:27.000,25.772022,-80.349789
"0","102",5.199999809265137,2020/05/28 20:13:35.000,25.772077,-80.350004
"0","103",5.400000095367432,2020/05/28 20:13:42.000,25.772113,-80.350166
"0","104",5.199999809265137,2020/05/28 20:13:48.000,25.772230,-80.350323
"0","105",5.199999809265137,2020/05/28 20:13:51.000,25.772279,-80.350392
"0","106",5.199999809265137,2020/05/28 20:13:56.000,25.772392,-80.350455
"0","107",5.000000000000000,2020/05/28 20:14:03.000,25.772567,-80.350422
"0","108",5.000000000000000,2020/05/28 20:14:11.000,25.772759,-80.350398
"0","109",5.000000000000000,2020/05/28 20:14:12.000,25.772783,-80.350396
"0","110",5.000000000000000,2020/05/28 20:14:20.000,25.772971,-80.350413
"0","111",5.000000000000000,2020/05/28 20:14:28.000,25.773164,-80.350435
"0","112",5.199999809265137,2020/05/28 20:14:36.000,25.773362,-80.350456
"0","113",5.199999809265137,2020/05/28 20:14:43.000,25.773529,-80.350465
"0","114",5.000000000000000,2020/05/28 20:14:50.000,25.773705,-80.350513
"0","115",4.800000190734863,2020/05/28 20:14:51.000,25.773728,-80.350522
"0","116",4.400000095367432,2020/05/28 20:14:58.000,25.773886,-80.350585
"0","117",4.400000095367432,2020/05/28 20:15:06.000,25.774060,-80.350651
"0","118",4.199999809265137,2020/05/28 20:15:13.000,25.774226,-80.350703
"0","119",4.000000000000000,2020/05/28 20:15:21.000,25.774415,-80.350777
"0","120",3.799999952316284,2020/05/28 20:15:28.000,25.774572,-80.350851
"0","121",3.799999952316284,2020/05/28 20:15:35.000,25.774713,-80.350892
"0","122",3.799999952316284,2020/05/28 20:15:42.000,25.774850,-80.350917
"0","123",3.799999952316284,2020/05/28 20:15:49.000,25.775011,-80.350954
"0","124",3.799999952316284,2020/05/28 20:15:57.000,25.775193,-80.350978
"0","125",3.799999952316284,2020/05/28 20:16:02.000,25.775312,-80.350951
"0","126",4.000000000000000,2020/05/28 20:16:06.000,25.775374,-80.351030
"0","127",5.000000000000000,2020/05/28 20:16:14.000,25.775451,-80.351232
"0","128",5.599999904632568,2020/05/28 20:16:21.000,25.775497,-80.351418
"0","129",5.800000190734863,2020/05/28 20:16:29.000,25.775518,-80.351644
"0","130",5.800000190734863,2020/05/28 20:16:35.000,25.775535,-80.351818
"0","131",5.400000095367432,2020/05/28 20:16:42.000,25.775581,-80.352026
